stimulus_id,cue,ambiguous_text,interpretation_a,interpretation_b
S001,context_person,"Jordan saw Alex with the binoculars.","Jordan used the binoculars.","Alex had the binoculars."
S002,context_message,"Taylor said Morgan's reply was cold.","Morgan's reply was emotionally distant.","Morgan's reply referred to low temperature."
S003,context_room,"Casey noticed the light by the door.","The light fixture was near the door.","Casey noticed illumination coming from near the door."
S004,context_action,"Riley watched Sam duck under the table.","Sam moved under the table.","Sam avoided something while near the table."
S005,context_sound,"Avery heard the bat near the window.","A flying animal was near the window.","A sports bat was near the window."
S006,context_social,"Jamie thought Pat's smile changed the room.","Pat's smile affected the social atmosphere.","The room physically changed because of lighting or arrangement."
S007,context_object,"Drew found the glasses on the desk.","Drew found eyewear.","Drew found drinking glasses."
S008,context_event,"Quinn said the meeting turned sharp.","The meeting became tense.","The meeting became more precise or focused."
S009,context_memory,"Rowan remembered the bank clearly.","Rowan remembered a financial bank.","Rowan remembered a river bank."
S010,context_signal,"Skyler saw the signal fade.","A communication signal weakened.","A gesture or cue became less noticeable."
S011,context_person,"Morgan passed Taylor on the stairs with a smile.","Morgan was smiling.","Taylor was smiling."
S012,context_event,"Jordan told Alex the meeting was canceled late.","The cancellation happened late.","Jordan informed Alex late."
S013,context_object,"Riley placed the book on the table near the lamp.","The lamp is near the table.","The table is near the lamp."
S014,context_social,"Casey said Drew’s joke was awkward at dinner.","The joke felt socially uncomfortable.","The joke was delivered poorly."
S015,context_action,"Sam helped Lee while carrying the boxes.","Sam was carrying boxes.","Lee was carrying boxes."
S016,context_room,"Taylor saw the chair by the window move.","The chair moved.","The lighting shifted making it seem like movement."
S017,context_sound,"Jamie heard the bell from the school.","The bell originated at the school.","Jamie was near the school when hearing it."
S018,context_object,"Avery picked up the glasses on the counter.","Eyewear was picked up.","Drinkware was picked up."
S019,context_interaction,"Quinn told Blake they needed to hurry.","Quinn needed to hurry.","Blake needed to hurry."
S020,context_memory,"Jordan remembered the note clearly.","A written message was recalled.","A musical tone was recalled."
S021,context_person,"Casey watched Riley leave with the package.","Riley left carrying the package.","Casey left with the package."
S022,context_event,"Taylor said the results surprised Morgan yesterday.","The results were surprising yesterday.","Taylor spoke yesterday."
S023,context_environment,"Drew noticed the light above the door flicker.","The light above the door flickered.","The doorway area seemed to flicker."
S024,context_social,"Sam thought Alex’s comment shifted the mood.","The comment changed the social atmosphere.","The comment physically altered the setting."
S025,context_object,"Lee found the key under the paper.","A physical key was found.","A clue or answer was found."
S026,context_action,"Morgan followed Jordan through the hall quietly.","Morgan was quiet.","Jordan was quiet."
S027,context_interaction,"Casey told Taylor they were wrong.","Casey told Taylor they were wrong.","Casey said that Casey was wrong."
S028,context_event,"Riley mentioned the project was finished early.","The project ended early.","Riley spoke early."
S029,context_sound,"Blake heard a bat in the room.","An animal was present.","A sports object was present."
S030,context_object,"Avery opened the file on the computer.","A digital document was opened.","A physical folder was opened."
S031,context_person,"Jordan saw Casey with the camera.","Jordan used the camera.","Casey had the camera."
S032,context_social,"Lee said Sam’s expression changed the situation.","The expression influenced the mood.","The situation physically changed."
S033,context_event,"Taylor mentioned the game was intense at the end.","The ending was intense.","The mention happened at the end."
S034,context_room,"Riley noticed the clock by the wall tilt.","The clock tilted.","The perspective made it appear tilted."
S035,context_object,"Drew held the glasses near the sink.","Eyewear was near the sink.","Drinking glasses were near the sink."
S036,context_action,"Alex guided Morgan through the door with care.","Alex was careful.","Morgan was careful."
S037,context_interaction,"Casey told Blake their answer was correct.","Blake’s answer was correct.","Casey’s answer was correct."
S038,context_event,"Sam said the event ended fast yesterday.","The event ended quickly.","Sam spoke quickly yesterday."
S039,context_sound,"Taylor heard the whistle near the field.","The whistle came from the field.","Taylor was near the field hearing it."
S040,context_memory,"Jamie remembered the bank near the street.","A financial institution was recalled.","A riverbank was recalled."
S041,context_person,"Quinn noticed Riley with the binoculars.","Quinn used the binoculars.","Riley had the binoculars."
S042,context_social,"Jordan thought Taylor’s tone shifted the room.","The tone changed the mood.","The room physically shifted."
S043,context_object,"Avery picked up the paper on the desk.","A document was picked up.","A physical sheet was picked up."
S044,context_action,"Blake followed Casey across the room quietly.","Blake was quiet.","Casey was quiet."
S045,context_interaction,"Morgan told Lee they arrived early.","Morgan arrived early.","Lee arrived early."
S046,context_event,"Sam mentioned the talk was long at the end.","The end was long.","Sam spoke at the end."
S047,context_sound,"Riley heard the ring from the phone.","The phone emitted the ring.","Riley was near the phone."
S048,context_object,"Jordan found the light in the box.","A light source was found.","Understanding was gained."
S049,context_person,"Taylor saw Alex with the bag.","Taylor carried the bag.","Alex had the bag."
S050,context_social,"Casey said Morgan’s reaction changed everything.","The reaction changed the situation.","Everything physically changed."
S051,context_action,"Lee walked Sam through the process slowly.","Lee was slow.","Sam was slow."
S052,context_event,"Avery noted the meeting ended quickly.","The meeting ended quickly.","The note occurred quickly."
S053,context_room,"Blake noticed the shadow by the door move.","The shadow moved.","Lighting conditions changed."
S054,context_object,"Jordan grabbed the glasses near the table.","Eyewear was taken.","Drinkware was taken."
S055,context_interaction,"Riley told Quinn they solved it.","Riley solved it.","Quinn solved it."
S056,context_sound,"Sam heard the bark from outside.","An animal barked.","The sound resembled barking."
S057,context_memory,"Morgan recalled the pitch clearly.","A musical tone was recalled.","A business proposal was recalled."
S058,context_person,"Casey noticed Alex with the keys.","Casey used the keys.","Alex had the keys."
S059,context_social,"Taylor believed Jordan’s comment shifted things.","The comment changed perception.","The situation literally changed."
S060,context_event,"Blake said the task became easier later.","It became easier later.","Blake commented later."
